"2'，5'-双（三氟甲基）-[1,1'：4'，1''-三苯基]-3,3''，5,5'-四羧酸2',5'-bis(trifluoromethyl)-[1,1':4',1''-terphenyl]-3,3'',5,5''-tetracarboxylic acid",/1807609-67-1分子式：C24H12O8F6分子量：542.33768,/1807609-67-1分子式：C24H12O8F6分子量：542.33768,1807609-67-1
"3,3′，5,5′-四（4-羧苯基）-对三苯基5',5'''-Bis(4-carboxyphenyl)-[1,1':3',1'':4'',1''':3''',1''''-quinquephenyl]-4,4''''- dicarboxylic acid",/1816997-25-7分子式：C46H30O8分子量：710.7256,/1816997-25-7分子式：C46H30O8分子量：710.7256,1816997-25-7
"[1,1':3',1'':4'',1''':3''',1''''-Quinquephenyl]-4,4''''-dicarboxylic acid, 5',5'''-bis(4-carboxyphenyl)-2'',5''-dimethoxy-[1,1':3',1'':4'',1''':3''',1''''-Quinquephenyl]-4,4''''-dicarboxylic acid, 5',5'''-bis(4-carboxyphenyl)-2'',5''-dimethoxy-",/1800290-01-0分子式：C48H34O10分子量：770.777574062347,/1800290-01-0分子式：C48H34O10分子量：770.777574062347,1800290-01-0
"均苯四甲酸Benzene-1,2,4,5-tetracarboxylic acid",/89-05-4分子式：C10H6O8分子量：254.14984,/89-05-4分子式：C10H6O8分子量：254.14984,32632
"1,2,4,5-四(4-羧基苯基)苯1,2,4,5-Tetrakis(4-carboxyphenyl)benzene",/1078153-58-8分子式：C34H22O8分子量：558.53368,/1078153-58-8分子式：C34H22O8分子量：558.53368,1078153-58-8
"1,2,4,5-四(3-羧基苯基)苯1,2,4,5-Tetrakis(3-carboxyphenyl)benzene",/1629643-34-0分子式：C34H22O8分子量：558.53368,/1629643-34-0分子式：C34H22O8分子量：558.53368,1629643-34-0
"4,4',4'',4'''-(1,2,4,5-benzenetetrayltetra-2,1-ethynediyl)tetrakis-Benzoic acid4,4',4'',4'''-(1,2,4,5-benzenetetrayltetra-2,1-ethynediyl)tetrakis-Benzoic acid",/1569900-69-1分子式：C42H22O8分子量：654.61928,/1569900-69-1分子式：C42H22O8分子量：654.61928,1569900-69-1
"4'',5''-双(4'-羧基[1,1'-联苯]-4-基)[1,1':4',1'':2'',1''':4''',1''''-喹啉苯基]-4,4''''-二羧酸4'',5''-Bis(4'-carboxy[1,1'-biphenyl]-4-yl)[1,1':4',1'':2'',1''':4''',1''''-quinquephenyl]-4,4''''-dicarboxylic acid",/1643112-46-2分子式：C58H38O8分子量：862.91752,/1643112-46-2分子式：C58H38O8分子量：862.91752,1643112-46-2
"1,2,4,5-四(4-羧基苯基)-3,6-二甲苯4',5'-bis(4-carboxyphenyl)-3',6'-dimethyl-[1,1':2',1''-terphenyl]-4,4''-dicarboxylic acid",/2161327-52-0分子式：C36H26O8分子量：586.58684,/2161327-52-0分子式：C36H26O8分子量：586.58684,2161327-52-0
"3',6'-dibromo-4',5'-bis(4-carboxyphenyl)-[1,1':2',1''-terphenyl]-4,4''-dicarboxylic acid3',6'-dibromo-4',5'-bis(4-carboxyphenyl)-[1,1':2',1''-terphenyl]-4,4''-dicarboxylic acid",/1206802-27-8分子式：C34H20O8Br2分子量：716.3258,/1206802-27-8分子式：C34H20O8Br2分子量：716.3258,1206802-27-8
"2,3',4,5'-联苯四羧酸[1,?1'-?Biphenyl]?-?2,?3',?4,?5'-?tetracarboxylic acid",/1689528-82-2分子式：C16H10O8分子量：330.2458,/1689528-82-2分子式：C16H10O8分子量：330.2458,1689528-82-2
"[1,1'：3'，1''-三联苯基]-4,4'，4''，6'-四羧酸[1,1':3',1''-Terphenyl]-4,4',4'',6'-tetracarboxylic acid",/1810737-66-6分子式：C22H14O8分子量：406.34176,/1810737-66-6分子式：C22H14O8分子量：406.34176,1810737-66-6
中-四(4-羧基苯基)卟吩meso-Tetra(4-carboxyphenyl)porphine,/14609-54-2分子式：C48H30N4O8分子量：790.7738,/14609-54-2分子式：C48H30N4O8分子量：790.7738,14609-54-2
"四(4-羧基-1,1'-联苯基)卟啉4',?4''',?4''''',?4'''''''-?(21H,?23H-?porphine-?5,?10,?15,?20-?tetrayl)?tetrakis-[1,?1'-?Biphenyl]?-?4-?carboxylic acid",/609365-68-6分子式：C72H46N4O8分子量：1095.15764,/609365-68-6分子式：C72H46N4O8分子量：1095.15764,609365-68-6
"芘-1,3,6,8-四甲酸1,?3,?6,?8-?Pyrenetetracarboxyli?c acid",/861023-19-0分子式：C20H10O8分子量：378.2886,/861023-19-0分子式：C20H10O8分子量：378.2886,861023-19-0
"1,3,6,8-四(4-羧基苯)芘4,4',4'',4'''-(1,3,6,8-pyrenetetrayl)tetrakis-Benzoic acid",/933047-52-0分子式：C44H26O8分子量：682.67244,/933047-52-0分子式：C44H26O8分子量：682.67244,933047-52-0
"4,4',4'',4'''-(pyrene-1,3,6,8-tetrayl)tetrakis(2-fluorobenzoic acid)4,4',4'',4'''-(pyrene-1,3,6,8-tetrayl)tetrakis(2-fluorobenzoic acid)",/2682204-04-0分子式：C44H22F4O8分子量：754.63,/2682204-04-0分子式：C44H22F4O8分子量：754.63,2682204-04-0
"4,4',4'',4''-(1,3,6,8-芘四烷基-2,1-乙炔基)-四苯甲酸4,4',4'',4'''-(1,3,6,8-Pyrenetetrayltetra-2,1-ethynediyl)tetrakis benzoic acid",/1569900-71-5分子式：C52H26O8分子量：778.75804,/1569900-71-5分子式：C52H26O8分子量：778.75804,1569900-71-5
"6,6',6'',6'''-(芘-1,3,6,8-四甲苯基)四(2-萘甲酸)6,6',6'',6'''-(1,3,6,8-pyrenetetrayl)tetrakis-2-Naphthalenecarboxylic acid",/2010983-66-9分子式：C60H34O8分子量：882.90716,/2010983-66-9分子式：C60H34O8分子量：882.90716,2010983-66-9
"[1,1':3',1''-Terphenyl]-4,4''-dicarboxylic acid, 5',5''''-(1,4-naphthalenediyl)bis5′,5””-(naphthalene-1,4-diyl)bis(([1,1′:3′,1”-terphenyl]-4,4”-dicarboxylic acid))",/1816997-26-8分子式：C50H34O8分子量：762.80016,/1816997-26-8分子式：C50H34O8分子量：762.80016,1816997-26-8
"9.10-二(3',5'-二羧基苯 基)蒽5,?5'- (9,?1-?anthracene-?diyl)?di-?isophthalate",/422269-95-2分子式：C30H18O8分子量：506.45912,/422269-95-2分子式：C30H18O8分子量：506.45912,422269-95-2
"5,?5'-?(9,?10-?anthracenediyldi-?2,?1-?ethynediyl)?bis-isophthalic acid5,?5'-?(9,?10-?anthracenediyldi-?2,?1-?ethynediyl)?bis-isophthalic acid",/1337923-87-1分子式：C34H18O8分子量：554.5,/1337923-87-1分子式：C34H18O8分子量：554.5,1337923-87-1
"5',5''-(蒽-9,10-二基)双(([1,1':3',1'-三苯基]-4,4'-二羧酸)5',5''''-(anthracene-9,10-diyl)bis(([1,1':3',1''-terphenyl]-4,4''-dicarboxylic acid))",/913343-74-5分子式：C54H34O8分子量：810.84296,/913343-74-5分子式：C54H34O8分子量：810.84296,913343-74-5
"N,N'-二(5-间苯二甲酸 基)萘二酰亚胺5,5'-(1,3,6,8-tetraoxo-1,3,6,8-tetrahydrobenzo[lmn][3,8]phenanthroline-2,7-diyl)dibenzene-1,3-dicarboxylic acid",/350024-36-1分子式：C30H14N2O12分子量：594.43836,/350024-36-1分子式：C30H14N2O12分子量：594.43836,350024-36-1
"四(4-羧基苯基)甲烷4,4',4'',4'''-methanetetrayltetrabenzoic acid",/160248-28-2分子式：C29H20O8分子量：496.4643,/160248-28-2分子式：C29H20O8分子量：496.4643,160248-28-2
"四(4-羧基联苯)甲烷4',4'',4''',4''''-methanetetrayltetrabiphenyl-4-carboxylic acid",/1208241-38-6分子式：C53H36O8分子量：800.84814,/1208241-38-6分子式：C53H36O8分子量：800.84814,1208241-38-6
"四(3-羧基苯基)硅3,3',3'',3'''-silanetetrayltetrakis-Benzoic acid",/31825-57-7分子式：C28H20O8Si分子量：512.5391,/31825-57-7分子式：C28H20O8Si分子量：512.5391,31825-57-7
四(4-羧基苯基)硅烷tetrakis(4-carboxyphenyl)silane,/10256-84-5分子式：C28H20O8Si分子量：512.5391,/10256-84-5分子式：C28H20O8Si分子量：512.5391,10256-84-5
四(4-羧苯氧基甲基)甲烷tetrakis(4-?carboxyphenoxymethyl)?methane,/245551-35-3分子式：C33H28O12分子量：616.56822,/245551-35-3分子式：C33H28O12分子量：616.56822,245551-35-3
"1,1,2,2-四(4-羧基苯)乙烯1,1,2,2-Tetra(4-carboxylphenyl)ethylene",/1351279-73-6分子式：C30H20O8分子量：508.475,/1351279-73-6分子式：C30H20O8分子量：508.475,1351279-73-6
"四[4-(4'-羧基苯基)苯基]乙烯4',4'',4''',4''''-(ethene-1,1,2,2-tetrayl)tetrabiphenyl-4-carboxylic acid",/1610858-96-2分子式：C54H36O8分子量：812.85884,/1610858-96-2分子式：C54H36O8分子量：812.85884,1610858-96-2
"4',4''',4''''',4'''''''-(1,2-ethenediylidene)tetrakis[3-amino-[1,1'-Biphenyl]-4-carboxylic acid4',4''',4''''',4'''''''-(1,2-ethenediylidene)tetrakis[3-amino-[1,1'-Biphenyl]-4-carboxylic acid",/1643112-47-3分子式：C54H40N4O8分子量：872.9174,/1643112-47-3分子式：C54H40N4O8分子量：872.9174,1643112-47-3
"4'',4''''',4'''''''',4'''''''''''-(ethene-1,1,2,2-tetrayl)tetrakis(([1,1':4',1''-terphenyl]-4-carboxylic acid))",/1643112-50-8分子式：C78H52O8分子量：1117.24270153046,/1643112-50-8分子式：C78H52O8分子量：1117.24270153046,1643112-50-8
"4',4'''-(phenylazanediyl)bis(([1,1'-biphenyl]-3,5-dicarboxylic acid))4',4'''-(phenylazanediyl)bis(([1,1'-biphenyl]-3,5-dicarboxylic acid))",/2226923-73-3分子式：C34H23NO8分子量：573.54832,/2226923-73-3分子式：C34H23NO8分子量：573.54832,2226923-73-3
"Benzoic acid, 4,4',4'',4'''-(1,4-phenylenedinitrilo)tetrakis-Benzoic acid, 4,4',4'',4'''-(1,4-phenylenedinitrilo)tetrakis-",/873655-81-3分子式：C34H24N2O8分子量：588.562969207764,/873655-81-3分子式：C34H24N2O8分子量：588.562969207764,873655-81-3
"Benzoicacid,4,4',4'',4'''-([1,1'-biphenyl]-4,4'-diyldinitrilo)Benzoicacid,4,4',4'',4'''-([1,1'-biphenyl]-4,4'-diyldinitrilo)",/1193093-31-0分子式：C40H28N2O8分子量：664.65892,/1193093-31-0分子式：C40H28N2O8分子量：664.65892,1193093-31-0
